eat,drink,television,play,chat,call,read,work,store,dress,sleep,go out,other
person,0,0,0,0,1,0,0,0,0,0,0,0,0
bicycle,0,0,0,0,0,0,0,0,0,0,0,1,0
car,0,0,0,0,0,0,0,0,0,0,0,1,0
motorbike,0,0,0,0,0,0,0,0,0,0,0,1,0
aeroplane,0,0,0,0,0,0,0,0,0,0,0,1,0
bus,0,0,0,0,0,0,0,0,0,0,0,1,0
train,0,0,0,0,0,0,0,0,0,0,0,1,0
truck,0,0,0,0,0,0,0,0,0,0,0,1,0
boat,0,0,0,0,0,0,0,0,0,0,0,1,0
traffic light,0,0,0,0,0,0,0,0,0,0,0,0,1
fire hydrant,0,0,0,0,0,0,0,0,0,0,0,0,1
stop sign,0,0,0,0,0,0,0,0,0,0,0,0,1
parking meter,0,0,0,0,0,0,0,0,0,0,0,0,1
bench,0,0,0,0,0,0,0,0,0,0,0,0,1
bird,0,0,0,1,0,0,0,0,0,0,0,0,0
cat,0,0,0,1,0,0,0,0,0,0,0,0,0
dog,0,0,0,1,0,0,0,0,0,0,0,0,0
horse,0,0,0,0,0,0,0,0,0,0,0,0,1
sheep,0,0,0,0,0,0,0,0,0,0,0,0,1
cow,0,0,0,0,0,0,0,0,0,0,0,0,1
elephant,0,0,0,0,0,0,0,0,0,0,0,0,1
bear,0,0,0,0,0,0,0,0,0,0,0,0,1
zebra,0,0,0,0,0,0,0,0,0,0,0,0,1
giraffe,0,0,0,0,0,0,0,0,0,0,0,0,1
backpack,0,0,0,0,0,0,0,0,1,0,0,1,0
umbrella,0,0,0,0,0,0,0,0,0,0,0,1,0
handbag,0,0,0,0,0,0,0,0,1,0,0,1,0
tie,0,0,0,0,0,0,0,0,0,1,0,1,0
suitcase,0,0,0,0,0,0,0,0,0,1,0,1,0
frisbee,0,0,0,1,0,0,0,0,0,0,0,1,0
skis,0,0,0,1,0,0,0,0,0,0,0,1,0
snowboard,0,0,0,1,0,0,0,0,0,0,0,1,0
sports ball,0,0,0,1,0,0,0,0,0,0,0,1,0
kite,0,0,0,1,0,0,0,0,0,0,0,1,0
baseball bat,0,0,0,1,0,0,0,0,0,0,0,1,0
baseball glove,0,0,0,1,0,0,0,0,0,0,0,1,0
skateboard,0,0,0,1,0,0,0,0,0,0,0,1,0
surfboard,0,0,0,1,0,0,0,0,0,0,0,1,0
tennis racket,0,0,0,1,0,0,0,0,0,0,0,1,0
bottle,0,1,0,0,0,0,0,0,0,0,0,0,0
wine glass,0,1,0,0,0,0,0,0,0,0,0,0,0
cup,0,1,0,0,0,0,0,0,0,0,0,0,0
fork,1,0,0,0,0,0,0,0,0,0,0,0,0
knife,1,0,0,0,0,0,0,0,0,0,0,0,0
spoon,1,0,0,0,0,0,0,0,0,0,0,0,0
bowl,1,0,0,0,0,0,0,0,0,0,0,0,0
banana,1,0,0,0,0,0,0,0,0,0,0,0,0
apple,1,0,0,0,0,0,0,0,0,0,0,0,0
sandwich,1,0,0,0,0,0,0,0,0,0,0,0,0
orange,1,0,0,0,0,0,0,0,0,0,0,0,0
broccoli,1,0,0,0,0,0,0,0,0,0,0,0,0
carrot,1,0,0,0,0,0,0,0,0,0,0,0,0
hot dog,1,0,0,0,0,0,0,0,0,0,0,0,0
pizza,1,0,0,0,0,0,0,0,0,0,0,0,0
donut,1,0,0,0,0,0,0,0,0,0,0,0,0
cake,1,0,0,0,0,0,0,0,0,0,0,0,0
chair,0,0,0,0,0,0,0,0,0,0,0,0,1
sofa,0,0,0,0,0,0,0,0,0,0,0,0,1
pottedplant,0,0,0,0,0,0,0,0,0,0,0,0,1
bed,0,0,0,0,0,0,0,0,0,0,1,0,0
diningtable,1,1,0,0,0,0,0,0,0,0,0,0,0
toilet,0,0,0,0,0,0,0,0,0,0,0,0,1
tvmonitor,0,0,1,0,0,0,0,1,0,0,0,0,0
laptop,0,0,0,0,0,0,0,1,0,0,0,0,0
mouse,0,0,0,0,0,0,0,1,0,0,0,0,0
remote,0,0,1,0,0,0,0,0,0,0,0,0,0
keyboard,0,0,0,0,0,0,0,1,0,0,0,0,0
cell phone,0,0,0,0,0,1,0,0,0,0,0,0,0
microwave,0,0,0,0,0,0,0,0,0,0,0,0,1
oven,0,0,0,0,0,0,0,0,0,0,0,0,1
toaster,0,0,0,0,0,0,0,0,0,0,0,0,1
sink,0,0,0,0,0,0,0,0,0,0,0,0,1
refrigerator,0,0,0,0,0,0,0,0,1,0,0,0,0
book,0,0,0,0,0,0,1,0,0,0,0,0,0
clock,0,0,0,0,0,0,0,1,0,0,0,0,0
vase,0,0,0,0,0,0,0,0,0,0,0,0,0
scissors,0,0,0,0,0,0,0,1,0,0,0,0,0
teddy bear,0,0,0,1,0,0,0,0,0,0,1,0,0
hair drier,0,0,0,0,0,0,0,0,0,0,0,0,1
toothbrush,0,0,0,0,0,0,0,0,0,0,0,0,1
